PubMedID,Title,Publication Date,Non-academic authors,Company Affiliations,Corresponding Author Email
40072429,Estimation and Hypothesis Testing of Strain-Specific Vaccine Efficacy With Missing Strain Types With Application to a COVID-19 Vaccine Trial.,2025-Mar-01,"Fei Heng, Yanqing Sun, Li Li, Peter B Gilbert",,N/A
40071892,Vaccine Effectiveness Dynamics against Influenza and SARS-CoV-2 in Community-tested Patients in France 2023-2024.,2025-Mar-01,"Claire Nour Abou Chakra, François Blanquart, Vincent Vieillefond, Vincent Enouf, Benoit Visseaux, Stéphanie Haim-Boukobza, Laurence Josset, Marie-Anne Rameix-Welti, Bruno Lina, Marta C Nunes, N/A N/A, Antonin Bal",,N/A
40071882,Attitudes Towards COVID-19 Vaccination and Complementary Treatment Methods Among Adults.,2024-Mar-01,"Hülya Kankaya, Beyza Yıldırak, Emine Karaman",,N/A
40071050,"Final COVID-19 Vaccination Status, Attitude, and Adverse Events Among People With Multiple Sclerosis: A Cross-Sectional Study From Egypt.",2025-Jan-01,"Eman Hamdy, Eman Hamdy Darweesh, Abdallah Dabbas, Sonia El-Bahrawy",,N/A
40070834,Dynamic SARS-CoV-2-specific B-cell and T-cell responses induced in people living with HIV after a full course of inactivated SARS-CoV-2 vaccine.,2025-N/A-01,"Xiuwen Wang, Xiaodong Yang, Xin Zhang, Hongxia Yan, Junyan Jin, Zhenglai Ma, Junyi Duan, Guanghui Zhang, Tao Huang, Yongzheng Li, Hao Wu, Tong Zhang, Aiwei Zhu, Cong Jin, Xiangrong Song, Bin Su",,N/A
40070822,SARS-CoV-2 spike peptide analysis reveals a highly conserved region that elicits potentially pathogenic autoantibodies: implications to pan-coronavirus vaccine development.,2025-N/A-01,"Marilyn Diaz, Zbignew Mikulski, Dan Leaman, Angel Gandarilla, Nathalia Da Silva, Annie Verkoczy, Jinsong Zhang, Laurent Verkoczy",,N/A
40069950,Exploring the Application of Target Trial Emulation in Vaccine Evaluation: Scoping Review.,2025-Mar-01,"Toshiaki Komura, Miwa Watanabe, Kayoko Shioda",,N/A
40069636,"Incidence of dynamic seroconversion in subjects received the first dose of the SARS-COV-2 vaccine (AstraZeneca, Moderna and Pfizer) in Kinshasa, Democratic Republic of Congo: prospective cohort study.",2025-Mar-01,"Eric Kasongo Mukenge, Blaise Matondo-Manzambi Sumbu, Aliocha Natuhoyila Nkodila, Jeremie Masidi Muwonga, Jean-Robert Rissassi Makulo, Mamy Zita Ngole, Ben Izizag Bepouka, Murielle Mashi Longokolo, Guyguy Kamwiziku, Hippolyte Nanituma Situakibanza, Jean-Marie Ntumba Kayembe, Benjamin Longo-Mbenza, George Lelo Mvumbi, Baudouin Buassa-Bu-Tsumbu, Jean Claude Makangara, Désire Kulimba Mashinda, Eric Musalu Mafuta, Donatien Sonzi Mangala, Mireille Nganga Nkanga, Gustave Ntita Ilunga, Fonce Tshibawu Nkunda, Christian Nsimba Lengo, Steve Mundeke Ahuka",,N/A
40069614,The vast majority of SARS-CoV-2 infections were asymptomatic in a clinic-based cohort of people with and without HIV in four African countries.,2025-Mar-01,"Rither Langat, Natalie Burns, Ibrahim Daud, Hannah Kibuuka, John Owuoth, Valentine Sing'oei, Jonah Maswai, Zahra Parker, Abdulwasiu Tiamiyu, Emmanuel Bahemana, Reginald Gervas, Nicole F Dear, Seth Frndak, Ajay P Parikh, Emma R Duff, Michelle Imbach, Badryah Omar, Jaclyn Hern, Neha Shah, Julie A Ake, Trevor A Crowell, Matthew L Romo, N/A N/A",,N/A
40069439,Functional Activity and Binding Specificity of Small Ankyrin Repeat Proteins Called Ankyrons Against SARS-CoV-2 Variants.,2025-Mar-01,"Yun-Jong Park, Wojciech Jankowski, Nicholas C Hurst, Jeremy W Fry, Nikolai F Schwabe, Linda C C Tan, Zuben E Sauna",,N/A
